sentence,casual,math_word,effect-cause
我们钉的不是按照传统的所谓钉住一篮子汇率，比如某年某月汇率都给定了，那么给出这个公式要保证篮子汇率指数等于100，一直维持不变，不是的，我们是天天都在变，我只不过想法子使今天的篮子汇率指数不要太脱离昨天的，但是它绝对不是钉住。,0,,
那么如何计算24小时篮子汇率稳定中间价，我刚才大致跟大家说了一下，具体的情况比这个要复杂一些。,0,,
篮子货币指数是指中国外汇交易体系CFETS或者上海外汇交易中心所公布的指数。,1,是指,{'篮子货币指数':'中国外汇交易体系CFETS或者上海外汇交易中心所公布的指数'}
CFETS到底是怎么变化的，跟哪些因素有关？,0,,
我们现在要考虑三个变量，人民币对美元的汇率、CFETS指数、美元指数，这三个变量之间是有关系的。,0,,
如果人民币对美元汇率贬值，美元指数也下跌，那么CFETS一定是下降的。,1,如果-那么,{'人民币对美元汇率贬值,美元指数下跌':'CFETS下降'}
如果人民币对美元贬值，美元指数上升，CFETS可能升也可能降，取决于人民币对美元贬值的相对幅度，这是我们得出的结论。,1,取决于,{'人民币对美元贬值的相对幅度':'CFETS升降'}
这个结论实际上是重要的，这是实际所看到的三个变量的变动路径。,0,,
来源：演讲者PPT黄线就是CFETS指数，大家可以看到起点为0，它在不断下降，但是在8月份之后是比较平稳的，刚才讲了，如果你要是钉住CFETS指数，CFETS应该不变，就是100。,1,要是-就是,{'钉住CFETS指数':'CFETS不变'}
但是你可以看到，一直到8月开始它的下降幅度速度是很大的，而且它变的比人民币下降的幅度还大。,0,,
要钉住一篮子的话，应该让篮子汇率指数不变，但是它实际上已经跌了7%，而人民币对美元的汇率反倒没跌到7%，从8月以后CFETS指数比较稳定了。,1,要-应该,{'钉住一篮子':'篮子汇率指数不变'}
还有美元指数的变动，美元指数在年初开始上升，后来下降，现在最近8月以后特别是10月以后开始上升，美元指数上升，这是非常重要的事实，可以看到三条线，灰线不要管它了，红色的是美元指数。,0,,
现在人民币对美元汇率的贬值幅度和CFETS的贬值幅度已经差不太多了。,0,,
特别要注意CFETS指数在8月以后基本比较平，为什么出现这种情况？,0,,
从2016年1月底到4月底美元指数下降时期，如果是钉住一篮子，那人民币对美元应该升值。,1,如果-那,{'钉住一篮子':'人民币对美元升值'}
但是，为了释放人民币贬值压力，央行没有更多干预外汇市场，人民币汇率中间价虽然有时候有所升值，但是升值有限。,1,为了-没有,{'央行没有干预外汇市场':'人民币汇率中间价升值有限,释放人民币贬值压力'}
美元指数贬值，按道理人民币相应升值，但是你确实升了一点但是很小，两个力量不能够综合不能相互抵消，那这个篮子货币CFETS就下降了。,1,,{'两个力量不能够综合不能相互抵消':'篮子货币CFETS下降'}
人民币一直存在着贬值压力，如果存在贬值压力情况下让它升值肯定要大量使用外汇储备，买进人民币，卖出美元。,1,如果-要,{'人民币存在贬值压力情况下让它升值':'使用外汇储备'}
我们又不太愿意这么做，结果CFETS往下走了。,1,,{'不愿意这么做':'CFETS往下走'}
4月底到7月初美元指数处于升值状态，为了维持篮子货币汇率稳定，人民币对美元应该贬值，在这种情况下人民币确实贬值了，而且贬值的幅度超过了维持CFETS指数稳定的要求，CFETS指数就会下跌而且下跌的幅度比较大。,1,为了-应该,{'人民币对美元贬值':'维持篮子货币汇率稳定'}
这叫顺水推舟，我本来就想释放贬值压力，现在由于美元的升值为了维持篮子货币汇率的稳定，我人民币现在本来就有贬值压力，那就让它贬值好了，贬值比较多了。,1,本来就-那就,{'有贬值压力':'让它贬值'}
贬值多于美元升值对于CFETS的影响，CFETS自然就是贬值了。,1,就是,{'贬值多于美元升值':'CFETS贬值'}
8月下旬至今，美元指数持续上升，为了维持篮子货币稳定，人民币对美元理应相应贬值，事实上央行减少了干预，允许人民币贬值，而且由于美元指数上升幅度较大，我就不需要让人民币贬值过多，它就能够使得这两个东西相吻合相对冲，这时候CFETS指数就稳定了，本来我美元指数上升的不太多，为了维持CFETS的稳定，让人民币贬值太多，CFETS就下来了，我贬值的少一点。,1,为了，由于-就，为了-让,{'人民币对美元贬值，央行减少干预':'维持篮子货币稳定','美元指数上升幅度较大':'不让人民币贬值过多','让人民币贬值太多':'维持CFETS的稳定'}
现在美元指数上升的很多，我就有了自由空间，就可以让人民币对美元的贬值幅度大一些，这时候依然能够保持CFETS不变。,1,就-能够，让-能够,{'美元指数上升的很多':'有自由空间','人民币对美元的贬值幅度大一些':'保持CFETS不变'}
上一阶段虽然也是美元升值，但是那时候美元升值的程度不像现在这么多，所以让人民币贬值不足以使CFETS平稳，现在由于美元升值比较多，我还按照原来的力度让人民币贬值，我就可以使得CFETS平稳了。,1,但是-所以-由于-还-就可以,{'美元升值的程度不多':'人民币贬值不足,使CFETS平稳','美元升值多,按照原来的力度让人民币贬值':'CFETS平稳'}
现在的美元升值给了我们央行一些操作的空间，让人民币有较大幅度的贬值，同时CFETS还没有很大的贬值，保持基本稳定。,1,,{'美元升值给央行操作的空间':'人民币有贬值,CFETS没有贬值,保持稳定'}
问题来了，为什么让人民币贬值？,0,,
按照钉住一篮子汇率的要求本来就应该让人民币贬值贬那么多，还有什么可说的？,0,,
没什么可说的。,0,,
现在正好利用这个时机，美元升值比较厉害，让人民币贬值比较厉害，而且我的CFETS是稳定的。,0,,
市场上对我没什么太大意见，因为你是钉住一篮子货币指数，不是钉住美元的。,0,,
这是目前所发生的情况。,0,,
我想再强调一下，实际上我们并不是钉住一篮子，我们只是考虑了一篮子因素，我们是想既考虑外汇市场的供求关系，又考虑篮子汇率的稳定，实际上我们这两者都各有舍取，基本还是干预外汇市场，控制汇率的变动，只不过采取了某种特定的方式来控制汇率的变动，你不能说我们是钉住一篮子货币。,0,,
央行引入这么一个机制到底想干什么？,0,,
我们如果钉住美元，要找到一个所谓的名义锚稳定通货膨胀，钉住一篮子货币为了保证出口的竞争力等等，央行为什么要引入这个新的机制？,1,如果-要-为了,{'钉住美元':'稳定通货膨胀','钉住一篮子货币':'保证出口的竞争力'}
两个都考虑到，它的目的是稳定人民币汇率的预期，缓慢释放人民币的贬值压力，遏制外汇储备急遽下降的势头。,1,,{'钉住美元,钉住一篮子货币':'稳定人民币汇率的预期,缓慢释放人民币的贬值压力,遏制外汇储备急遽下降'}
如果要是8•11汇率制度，人民币对美元的贬值很快，呼呼就下来了，引入新的机制这种情况就不会出现了。,1,如果要,{'是8•11汇率制度':'人民币对美元的贬值很快'}
举个例子，汇率收盘价对中间价每天贬值2%，8•11期间10天贬值20%，引入新机制现在也是每天贬2%，10天贬值多少？,0,,
可能是0。,0,,
今天的收盘价对中间价贬值2%，第二天重新计算中间价的时候要考虑到美元指数的变化，如果美元指数下降，人民币的理论汇率应该是上升，上升的程度正好把收盘价下降抵消了，所以经过10天不但不是贬了20%，可能根本没贬。,1,如果-应该,{'美元指数下降':'人民币的汇率上升'}
作为参照，收盘价对中间价而言，我收盘价对中间价贬了，但是中间价不断上升，到最后可能没贬。,0,,
最简单的例子，今天的中间价等于昨天的收盘价加上今天的理论汇率。,0,,
假如今天的理论汇率跟昨天的收盘价一样的，那么根本就没有变化。,1,假如-那么,{'今天的理论汇率跟昨天的收盘价一样的':'没有变化'}
引入了这个新的汇率机制，其他条件都相等的情况下可以延迟汇率的贬值速度，降低它的贬值速度。,0,,
央行比较得意的，引入了不确定性，如果我每天按照过去8•11汇改，只是看今天的收盘价我就大致猜明天的中间价。,1,如果-只是,{'按照8•11汇改,看今天的收盘价':'明天的中间价'}
我引入了这个之后，不但要看今天的收盘价，而且要等到明天看明天的美元指数，我得算出这24小时篮子汇率稳定理论汇率到底是多少，这个数等明天开盘的时候才能知道。,0,,
过去你只要看国内的外汇市场供求就行了，现在不但得看国内还得看全球。,0,,
你等到明天开盘的时候知道美元指数算出来，后天、大后天、下礼拜就不知道了。,0,,
而美元指数是由各种各样因素造成，也可能升也可能降，不像咱们人民币一路往下贬，那个一会儿升一会儿降，美元指数的波动使得所制定出的中间价也会有波动，投机者很难判断明天人民币对美元的汇率到底是多少，增加了不确定性。,1,使得,{'美元指数波动':'中间价有波动'}
不确定性增加之后，在投机人民币做空人民币的时候得小心从事。,1,,{'不确定性增加':'做空人民币得小心从事'}
这样一种方法可以在一定程度上遏制人民币贬值预期。,1,遏制,{'做空人民币得小心从事':'人民币贬值预期'}
所以央行的评价是，由于美元走势具有不确定性，参考一篮子货币使得人民币对美元汇率也会呈现双向波动的特点，有助于打破市场单边预期，避免单向投机。,1,由于-使得-有助于,{'美元走势具有不确定性':'人民币对美元汇率呈现双向波动,打破市场单边预期'}
但是这种制度新的定价机制不能解决根本问题，你可以赢得一场战役，不可能赢得一场战争。,0,,
你可能杀敌一千可能自损八百，也可能杀敌一百自损一千，呈现出双向波动的特点，这个双向波动不是市场的双向波动，是你人为制造的，你干预的多点干预的少点都有波动，都是干预的结果，这个东西不能够持久。,0,,
我对这个政策之所以提出一些质疑，主要是因为这么一个缘故。,0,,
在2016年10月之前大家都觉得这个制度挺不错，汇率贬值也不太多，外汇储备使用也不太多，证明我们这个汇率制度的成功。,1,证明,{'制度挺不错,汇率贬值不多,外汇储备使用不多':'这个汇率制度的成功'}
现在形势发生变化了，美联储已经开始加息了，更重要的是特朗普上来了，大家预期美国利息要上升，美元指数大幅度上升，这时候形势又变了，贬值压力又卷土重来。,1,,{'特朗普上来':'形势变了,贬值压力卷土重来'}
我们原来的成功很大得益于天时地利人和，现在天时地利发生了变化，这个制度又重新面临考验。,1,得益于,{'天时地利人和':'成功'}
之所以成功不光是中国汇率制度成功造成的。,1,之所以~造成的,{'中国汇率制度成功':'成功'}
人民币汇率在下跌，新兴市场国家的汇率也在下跌，当我们稳定之后人家也稳定了，所以说并不是说你自己成功，是天气变好了的缘故。,1,~的缘故,{'天气变好':'汇率稳定,自己成功'}
汇率政策的问题及可选择政策回过头来总结一下我们的汇率政策，造成了一些什么问题？,0,,
第一个问题，我们在两年中用了8000亿美元的外汇储备，在引入新的汇率制度之后可能用了至少4000亿美元，外汇储备的使用是非常巨大的。,0,,
现在外汇储备是4万亿美元跌到3万亿美元。,0,,
随着外汇储备的消耗，人们对于使用外汇储备维持人民币汇率稳定的信心就会减少。,1,随着-就,{'外汇储备消耗':'人民币汇率稳定的信心减少'}
第二个问题，我们货币政策的独立性受到很大的影响。,0,,
央行上季度的货币政策报里面特别提到，“若频繁降准会大量投放流动性，促使市场利率下行……。,1,若~会-促使,{'频繁降准':'投放流动性,市场利率下行'}
导致本币贬值压力加大，外汇储备下降。,1,导致,{'频繁降准':'本币贬值压力加大，外汇储备下降'}
降准释放的流动性越多，本币贬值预期越强，就越是会促使投机者拿这些钱去买汇炒汇，由此形成循环。,1,越-越-促使，{'降准释放的流动性越多':'本币贬值预期越强,投机者去买汇炒汇,形成循环'}
老顾着汇率，货币政策的独立性就要受到影响。,1,~就,{'顾着汇率':'货币政策的独立性受到影响'}
现在一个更为突出的问题，由于你不想让汇率动，又不想更多使用外汇储备，那你有什么办法？,0,,
唯一的是加强资本管制。,1,,{'加强资本管制':'不让汇率动,不使用外汇储备'}
如果大家看过我写的书《最后的屏障》，就可以发现我在过去六年之中一再呼吁不要太着急，资本管制是要逐步放松的，不能一下子放松。,1,如果-是,{'《最后的屏障》':'资本管制逐步放松'}
如果你走得太快的话会犯严重的错误。,1,如果~会,{'走得太快':'会犯严重的错误'}
什么叫颠覆性的错？,0,,
如果过快地开放资本项目，你就会犯颠覆性的错。,1,如果-就会,{'过快地开放资本项目':'会犯颠覆性的错'}
这是我一贯的观点。,0,,
但是到现在虽然加强资本管制，我非常支持加强资本管制，但是说过的话要算数，不能把过去已经承诺的东西扔一边。,0,,
比如一个非常具体的例子，我不是说现在发生了，在某些局部地区一度发生，央行纠正了，外国投资把利润汇回，这是经常项目，早就实现了人民币的可兑换，不能因为害怕外汇储备没了不能兑换，不能把利润汇回，这个是对国家信用的破坏。,1,,{'外汇储备不能兑换':'破坏国家信用'}
国家信用非常重要。,0,,
多少年以来我老听人讲，要打破人民币升值的非理性预期。,0,,
现在又说要打破人民币贬值的非理性预期。,0,,
其实市场的预期是非常理性的，过去双顺差自然要认为它是要升值，现在双顺差没了，资本项目的逆差大于经常项目的顺差，当然是要贬值。,1,，当然,{'资本项目的逆差大于经常项目的顺差':'是要贬值'}
这时候过度强调打掉所谓的非理性预期是不会成功的。,0,,
人民币为什么有贬值压力，为什么有贬值预期？,0,,
由于实体经济出现了一系列的变化。,1,,{'实体经济出现一系列的变化':'人民币有贬值压力'}
一个套利套汇获利平仓，人民币升值过程当中大量的人套利套汇持有人民币资产，现在看情况有变，趁它还没有跌下来的时候赶紧抛掉人民币资产获利平仓，这么做的时候就导致了资本的外流。,1,，~导致,{'抛掉人民币资产获利平仓':'资本的外流'}
第二是居民财富重新配置，这个是一种非常合理的现象，当你的收入上涨的时候你肯定要使你的财产币种分散化，以前有人民币存款就行了，现在想有点欧元存款、美元存款，随着国家的人均收入上升这种现象自然发生，自然导致人民币贬值的压力。,1,当~使，随着-导致,{'收入上涨':'财产币种分散化','人均收入上升':'人民币贬值'}
中国有资产荒一说，经济增长速度减缓，我们投资收益不高，在其他一些国家相对来讲投资收益率高一些，我们就要配置资产配置出去，对中国整体经济的信心也所下降，有些信心下降是合理的，有些不合理。,1,,{'资产配置出去':'中国整体经济的信心下降'}
种种原因导致了资本的外流，这些导致人民币的贬值压力。,1,，导致,{'资本外流':'人民币贬值'}
在这个过程之中人民币的贬值预期起到作用没有？,0,,
肯定是起到作用，但是把一切归结为人民币贬值预期是错误的，贬值预期不是无源之水无本之木，是某种东西的产物，一旦它出现反过来又会影响这个实体经济，是相互作用的关系。,1,归结为,{'贬值预期':'实体经济'}
如果你把你的政策仅集中于要打掉人民币贬值预期，那这个政策是错误的，政策是不能够成功的。,1,如果-那,{'政策集中于要打掉人民币贬值预期':'政策是不能够成功'}
怎么办？,0,,
对于这样一种局面。,0,,
办法是现成的，三种选择。,0,,
第一，减少对外汇市场的干预，一次性释放贬值压力。,0,,
均衡水平是多少？,0,,
6.9、7、7.25还是8？,0,,
谁也不知道，只有市场知道，市场什么时候发挥作用？,0,,
停止干预了就发挥作用，就能知道了。,0,,
你停止干预，人民币可能在比较短的时间跌到某一点上。,1,,{'停止干预':'短时间跌到某一点上'}
跌到某一点上，它还可能继续跌，这就叫超调，无论如何基本面决定了它不可能跌的太多，它会回来。,0,,
相信市场的话，市场是会找到均衡的，汇率这个东西比较特殊，会出现超调。,0,,
即便是超调也不是没底的事情没边的事，我一再强调中国是经常项目顺差最大的国家，中国的外汇储备是最多的国家，中国的经济增长速度是世界第二，中国政府是非常有管理能力的，这样一种国家的汇率不可能一贬到底，不必对此过于担心。,0,,
第二，钉住美元，我宣布绝对不贬值，与此同时加强资本管制，这种方法在1998年试过，取得了成功。,0,,
现在能做到这点吗？,0,,
而且我们已经宣布了人民币要在合理均衡水平上下基本稳定，也就是说并不是绝对不贬值，现在已经贬值，今年一年贬值了5%以上，现在大家都认为它会贬值。,0,,
现在的形势跟原来的形势不一样，采取以前的措施不会奏效。,1,,{'现在的形势跟原来的形势不一样':'以前的措施不会奏效'}
第三，现在所采取的通过某种方式引导控制汇率逐渐贬值，希望贬值压力逐步消失。,1,,{'通过某种方式':'控制汇率逐渐贬值'}
现在已经用了1万亿美元外汇储备，我们还有至少5000亿美元到1万亿美元可以使，希望这个过程中出现什么事情，比如美国发生金融危机，资金往中国这儿跑，人民币就稳定了。,0,,
如果我们采取这种政策的话，逐渐贬值这样一种方法就是不断流血，不断使用外汇储备，最后外汇储备跌破2万亿美元，那时候谁也不相信了，这时候压力就更大了。,0,,
这种选择我认为并不是一种很好的选择。,0,,
现在我们实际面临一个什么问题？,0,,
现在变成了汇率稳定、外汇储备的使用和国家信用三者里面选谁？,0,,
要我来选，国家信用最重要，言而无信不知其可，国家的信誉不是一天两天能建立起来，中国还是一个有信誉的国家，经过几十年我们建立了这种信用，这个信用一旦没了还得几十年才能建立起来，这点非常重要。,0,,
现在据说很多人希望既要维持汇率稳定，又要不要浪费外汇储备，在这种情况下唯一就是加强资本管制，资本管制加强到什么程度？,0,,
这是一个大的问题。,0,,
我的结论是，不应该用极高的代价，外汇储备的流失、国家信用的损失来保这里最不值得保的东西。,0,,
经济学家钟伟有一句话，汇率不就是价格吗？,0,,
价格变了有什么？,0,,
你损失什么？,0,,
今天损失明天回来了。,0,,
不是害怕人民币贬值吗？,0,,
人民币贬值25%是不是要破8了？,0,,
如果贬值15%应该是7.25左右，贬值25%可能就破8了。,0,,
如果人民币贬值25%，Sowhat？,0,,
经济学文献上有说法，如果一个国家的货币贬值超过25%就可能算是货币危机了，它的问题是什么？,0,,
第一，对银行的货币币种错配，你的资金来源是外币，你使用的是人民币，如果人民币贬值，银行资产币种错配就会使银行产生危机。,1,如果-就会使,{'人民币贬值,银行资产币种错配':'银行产生危机'}
而中国外币资产在银行的总资产中所占的比重非常小，相对来讲非常小，所以你怎么贬值对银行的资产负债表没什么太大影响，有其他的问题，企业债问题、不良债权问题，但是美元不是什么大的问题，中国不存在这个问题。,0,,
第二，企业外债。,0,,
前一段都说中国企业借了8000亿美元左右的外债，如果美元一旦贬值，企业的债务用人民币计就要大幅度上升，这些企业的资产一般是人民币资产，这些企业会陷入困境。,1,如果-就-会,{'美元一旦贬值':'企业的债务大幅度上升,企业会陷入困境'}
这个有一定道理，但是我有三点要评论。,0,,
中国企业的债务是非常高的，占GDP的比150%甚至更高，外债8000亿美元和企业总的债务相比是微不足道，1%-4%，要出事不是这出，而是企业债务太高。,0,,
企业外债比较多都是过去搞arbitrage，原来看好投机套利的机会，所以借了外债，借了外债不是用来在海外投资不是干这个，他们是为了套利套汇，已经赚了不少钱再赔回去点也垮不了台。,1,所以-是为了,{'看好投机套利的机会':'借了外债','借了外债':'套利套汇'}
过去前几年已经大量偿还了外债，所以外债的额在他们总的债务之中并不是什么很了不得的，最近又继续借债了，这也不是个大问题。,1,已经-所以,{'偿还了外债':'这不是个大问题'}
第三，主权债，中国根本没有什么外币的主权债。,0,,
第四，通胀是一个潜在问题，但是现在还没有面临通货膨胀危险或者通货膨胀还是比较低的。,0,,
前一段我们还是担心通货收缩，因为PPI是负的。,1,，因为,{'PPI是负的':'担心通货收缩'}
在经济文献所说的如果一个国家的汇率大幅度贬值，所能造成的问题在中国都基本不存在或者是问题都不大，不必太害怕这些东西。,1,如果,{'汇率大幅度贬值':'在中国都基本不存在或者是问题都不大'}
总而言之，只有市场才能找到合理均衡水平，只有在均衡水平上才能实现双向波动，而不是认为制造的双向波动。,1,只有-才能,{'在均衡水平上':'实现双向波动'}
我们不能够排除这种可能性，就是人民币一旦贬值就失去控制，对中国经济造成冲击，这个东西谁也不敢保证绝对不可能发生，但世界上没有绝对不可能发生的事，你发射卫星、载人飞船你说没有失败的概率？,0,,
概率还不见得微乎其微，你发不发？,0,,
你只要有相当的把握你就应该去做，否则的话你遗留的问题非常严重。,1,只要-否则,{'有相当的把握':'应该去做'}
做经济决策的时候，不能把风险完全排除，只要你对风险做了适当的估计，觉得值得冒这个险就应该冒冒这个险，否则我们被汇率这个问题束缚自己的手脚已经束缚了十几年，而这种汇率大家知道是一种非常重要的价格，如果这种价格不能够反映市场的真正的供求关系，必然导致你的资源配置的不合理化。,1,只要-就，如果-导致,{'对风险做了适当的估计':'应该冒冒这个险','价格不能够反映市场供求关系':'资源配置的不合理化'}
我们所强调的我们所说的潜在经济增长速度要通过供给侧改革来加以提高，那么实际上如果汇率一直是扭曲的话，资源配置不合理，那就会严重影响我们的经济增长速度，严重影响我们的资产配置的合理性，严重妨碍我们的潜在经济增长速度提高和经济效益的提高。,1,如果-那就会,{'汇率一直是扭曲的':'严重影响经济增长速度,严重影响资产配置的合理性,严重妨碍潜在经济增长速度提高和经济效益的提高'}
我希望我们有关方面能够及早下定决心，该干什么就干什么，而且现在是有一个机会，这个机会是特朗普给我们提供的，在他就职之前我们不管就完了。,0,,
我这只是一种希望，这种希望实现的可能性不大。,0,,
相信在明年恐怕还是延续今年的基本政策，你们如何决定自己的投资不要听我的，而是要仔细研究公报，我只是说我觉得应该干什么，至于会干什么，这是我所不能够判断的。,0,,

